Agricultural Commodities,1998/99,,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13
Food grains,6465,,6985,7172,7248,7361,7745,7767,7656,7329,8069,8115,7763,8615,12293,11330
Paddy,3710,,4030,4216,4165,4133,4456,4290,4209,3681,4299,4524,4023,4460,5072,4505
Maize,1346,,1445,1484,1511,1569,1590,1716,1734,1820,1879,1931,1855,2067,2179,1999
Wheat,1086,,1184,1158,1258,1344,1387,1442,1394,1515,1572,1344,1557,1746,1846,1727
Millet (Kodo),291,,295,283,283,283,283,290,291,285,291,293,300,303,3151,3055
Barley,32,,31,30,31,32,28,29,28,28,28,23,28,30,35,34
Buckwheat,,,,,,,,,,,,,,9,10,10
Cash Crops,3202,,3428,3678,3876,4020,4102,4276,4597,4698,4694,4933,5183,5719,5710,5817
Sugarcane,1972,,2103,2212,2248,2343,2305,2376,2463,2600,2485,2354,2495,2932,2930,2930
Oilseeds,120,,123,132,135,125,133,142,139,136,134,135,155,175,179,179
Tobacco,4,,4,4,4,3,3,3,3,3,3,2,2,2,3,2
Jute,15,,15,16,16,17,17,16,17,17,17,18,13,13,14,16
Potato,1091,,1183,1314,1473,1531,1643,1739,1975,1943,2055,2424,2518,2597,2584,2690
Other Crops,2029,,2175,2383,2463,2585,2679,2903,2992,3164,3457,3713,3993,4336,4672,4623
Pulses,229,,237,243,250,257,265,271,267,274,270,255,262,318,320,357
Fruits,456,,447,487,474,519,511,553,535,575,631,686,707,794,1030,939
Vegetables,1343,,1490,1653,1738,1800,1890,2065,2190,2299,2539,2754,3004,3204,3299,3302
Tea,4,,5,6,7,8,12,13,13,15,16,16,17,17,19,21
Coffee,0.05,,0.07,0.09,0.14,0.19,0.22,0.25,0.30,0.46,0.28,0.27,0.31,0.40,0.4,0.4
Cotton,0.68,,0.74,0.46,0.15,0.06,0.01,0.01,0.06,0.05,0.07,0.06,0.11,0.11,0.13,0.15
Honey,0.139,,0.15,0.16,0.53,0.53,0.58,0.6,0.65,0.65,1,0.85,1,1.2,1.5,1.6
Cocoon,0.02,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,NA,0.03,0.04
Mushroom,,,,,,,,,,,,1,1.1,1.3,1.5,1.7
Spice Crops,108.16,,110.45,124.27,132.38,201.06,219.86,223.26,226.91,238.64,243.1,276,321.23,357.21,364.3,345.1
Cardamom,4.33,,6.53,6.08,6.18,5.68,5.98,6.07,6.65,6.79,7.1,7,5.23,5.21,6,5.8
Turmeric,8.43,,10.59,13.06,15.17,21.59,23.03,23.23,23.57,25.4,25,32,38,41,35.3,35.7
Ginger,81.80,,74.99,84.37,87.91,140.06,150.59,152.7,154.20,160.58,161,179,211,240,255,235
Chilies,4.82,,6.36,6.53,7.08,10.87,11.97,12.62,13.78,15.57,19,24,28,27,27,27.9
Garlic,8.78,,11.97,14.23,16.03,22.67,28.28,28.61,28.72,30.31,31,34,39,44,41,40.7
